metric,system,value,unit,eval_set,sample_size,baseline,baseline_value,delta,notes
Verified Grounded Reply Quality Score,Grounded LLM + Verifier,0.767,score [0-1],Phase 18 Test Set,200,Historical Response Baseline,0.500,+0.267,Primary headline metric; 95% bootstrap CI [0.7612 0.7728]
Verified Grounded Reply Quality Score (vs Generic),Grounded LLM + Verifier,0.767,score [0-1],Phase 18 Test Set,200,Generic Template Baseline,0.265,+0.502,Generic fallback template strawman comparison
Intent Classification Macro F1,Semantic Bi-Encoder + Classifier,0.857,F1 [0-1],Phase 18 Test Set,200,TF-IDF Baseline,0.580,+0.277,Evaluated across 7 balanced customer support intents
Intent Classification Accuracy,Semantic Bi-Encoder + Classifier,0.855,accuracy [0-1],Phase 18 Test Set,200,Majority Class Baseline,0.105,+0.750,Raw accuracy metric; susceptible to class distribution imbalance
Retrieval Recall@5,Dense FAISS Semantic Search,0.750,recall@5 [0-1],Phase 18 Test Set,200,Lexical BM25 Search,0.300,+0.450,Bi-encoder retrieval on historical support knowledge base
Grounding Verification Pass Rate,Heuristic + Claim Verifier,0.560,pass rate [0-1],Phase 18 Test Set,200,Ungrounded LLM Baseline,0.350,+0.210,Strict boolean verification gate; catches 11.5% unsupported claims
Escalation Policy Expected Cost,Risk-Aware Policy V1.1,2.14,expected cost,Phase 18 Test Set,200,Always-Auto Baseline,6.10,-3.96,Asymmetric cost penalty: false auto=10 false escalate=1
Escalation Policy Accuracy,Risk-Aware Policy V1.1,0.690,accuracy [0-1],Phase 18 Test Set,200,Always-Escalate Baseline,0.610,+0.080,Evaluated against heuristic multi-signal escalation ground truth
Safe Auto-Handle Rate,Full Support Agent Pipeline,0.680,rate [0-1],Phase 18 Test Set,200,Always-Auto Baseline,0.390,+0.290,Eligible inquiries autonomously resolved without policy breach
Unsafe Auto-Handle Rate,Full Support Agent Pipeline,0.020,rate [0-1],Phase 18 Test Set,200,Always-Auto Baseline,0.080,-0.060,Critical high-risk inquiries auto-handled unsafely (4 cases)
LLM Judge Agreement Within-1,LLM-as-Judge (6-dim Rubric),0.500,agreement [0-1],Human Subsample,10,Random Rating Baseline,0.333,+0.167,Single-annotator human benchmark comparison; MAD=0.952
